Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Regulated-By	GO terms (biological process)	Transcription Units	gene ID	Pathways of gene	TU ID
rrsA	b3851	4035531	4037072	16S ribosomal RNA			rrsA-ileT-alaT-rrlA-rrfA // rrsA-ileT-alaT-rrlA-rrfA // rrsA-ileT-alaT-rrlA-rrfA	EG30084		rrsA-ileT-alaT-rrlA-rrfA // rrsA-ileT-alaT-rrlA-rrfA // rrsA-ileT-alaT-rrlA-rrfA
yhfW	b3380	3508587	3509813	putative mutase YhfW		cellular metabolic compound salvage // nucleotide metabolic process	yhfXW-php-yhfUTS	G7732		yhfXW-php-yhfUTS
rbfA	b3167	3312777	3313178	30S ribosome binding factor		ribosomal small subunit biogenesis // ribosome biogenesis // rRNA processing // maturation of SSU-rRNA // DNA damage response // response to cold	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp // metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	EG11178		metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp // metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp
rrlE	b4009	4210043	4212946	23S ribosomal RNA		translation	rrsE-gltV-rrlE-rrfE // rrlE-rrfE // rrsE-gltV-rrlE-rrfE // rrsE-gltV-rrlE-rrfE	EG30081		rrsE-gltV-rrlE-rrfE // rrlE-rrfE // rrsE-gltV-rrlE-rrfE // rrsE-gltV-rrlE-rrfE
yibU	b4652	3769948	3770146					G0-16668		
rrlB	b3970	4168641	4171544	23S ribosomal RNA		translation	rrsB-gltT-rrlB-rrfB // rrlB-rrfB // rrsB-gltT-rrlB-rrfB // rrsB-gltT-rrlB-rrfB	EG30078		rrsB-gltT-rrlB-rrfB // rrlB-rrfB // rrsB-gltT-rrlB-rrfB // rrsB-gltT-rrlB-rrfB
rrfG	b2588	2726069	2726188	5S ribosomal RNA		translation	rrsG-gltW-rrlG-rrfG // rrfG // rrsG-gltW-rrlG-rrfG // rrsG-gltW-rrlG-rrfG	EG30075		rrsG-gltW-rrlG-rrfG // rrfG // rrsG-gltW-rrlG-rrfG // rrsG-gltW-rrlG-rrfG
nfsA	b0851	891184	891906	NADPH-dependent nitro/quinone reductase NfsA	Regulation of nfsA by small regulatory RNA SdsN		ybjC-nfsA-rimK-ybjN	EG11261		ybjC-nfsA-rimK-ybjN
rrfF	b3272	3423423	3423542	5S ribosomal RNA		translation	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF // rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF // rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	EG30091		rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF // rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF // rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF
rrfC	b3759	3946700	3946819	5S ribosomal RNA		translation	rrsC-gltU-rrlC-rrfC // rrsC-gltU-rrlC-rrfC // rrsC-gltU-rrlC-rrfC	EG30072		rrsC-gltU-rrlC-rrfC // rrsC-gltU-rrlC-rrfC // rrsC-gltU-rrlC-rrfC
ykfK	b4628	266776	266967					G0-10615		
rrsE	b4007	4208147	4209688	16S ribosomal RNA		translation	rrsE-gltV-rrlE-rrfE // rrsE-gltV-rrlE-rrfE // rrsE-gltV-rrlE-rrfE	EG30088		rrsE-gltV-rrlE-rrfE // rrsE-gltV-rrlE-rrfE // rrsE-gltV-rrlE-rrfE
rrsB	b3968	4166659	4168200	16S ribosomal RNA		translation	rrsB-gltT-rrlB-rrfB // rrsB-gltT-rrlB-rrfB // rrsB-gltT-rrlB-rrfB	EG30085		rrsB-gltT-rrlB-rrfB // rrsB-gltT-rrlB-rrfB // rrsB-gltT-rrlB-rrfB
yqjG	b3102	3251024	3252010	glutathionyl-hydroquinone reductase YqjG			yqjG	G7616		yqjG
ffs	b0455	476448	476561	signal recognition particle 4.5S RNA		SRP-dependent cotranslational protein targeting to membrane	ffs	EG30027		ffs
rrlG	b2589	2726281	2729184	23S ribosomal RNA		translation	rrsG-gltW-rrlG-rrfG // rrsG-gltW-rrlG-rrfG // rrsG-gltW-rrlG-rrfG	EG30082		rrsG-gltW-rrlG-rrfG // rrsG-gltW-rrlG-rrfG // rrsG-gltW-rrlG-rrfG
mdtQ	b2139	2227323	2228758	putative multidrug resistance outer membrane protein MdtQ		transmembrane transport // response to antibiotic	mdtQ	EG12020		mdtQ
rrlC	b3758	3943704	3946607	23S ribosomal RNA		translation	rrsC-gltU-rrlC-rrfC // rrsC-gltU-rrlC-rrfC // rrsC-gltU-rrlC-rrfC	EG30079		rrsC-gltU-rrlC-rrfC // rrsC-gltU-rrlC-rrfC // rrsC-gltU-rrlC-rrfC
rrfH	b0205	228756	228875	5S ribosomal RNA		translation	rrsH-ileV-alaV-rrlH-rrfH // rrlH-rrfH // rrsH-ileV-alaV-rrlH-rrfH // rrsH-ileV-alaV-rrlH-rrfH	EG30076		rrsH-ileV-alaV-rrlH-rrfH // rrlH-rrfH // rrsH-ileV-alaV-rrlH-rrfH // rrsH-ileV-alaV-rrlH-rrfH
ygeA	b2840	2979943	2980635	amino acid racemase YgeA		nitrogen compound metabolic process	araE-ygeA // ygeA	EG11157		araE-ygeA // ygeA
rlhA	b1435	1506781	1508742	23S rRNA 5-hydroxycytidine C2501 synthase		organic substance metabolic process // rRNA processing // rRNA modification	rlhA	G6746		rlhA
rrfD	b3274	3423668	3423787	5S ribosomal RNA		translation	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF // rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF // rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	EG30073		rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF // rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF // rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF
ygeK	b2855	2994460	2994903	putative DNA-binding transcriptional regulator YgeK		DNA-templated transcription	ygeLK	G7475		ygeLK
rrsG	b2591	2729616	2731157	16S ribosomal RNA		translation	rrsG-gltW-rrlG-rrfG // rrsG-gltW-rrlG-rrfG // rrsG-gltW-rrlG-rrfG	EG30089		rrsG-gltW-rrlG-rrfG // rrsG-gltW-rrlG-rrfG // rrsG-gltW-rrlG-rrfG
rrsC	b3756	3941808	3943349	16S ribosomal RNA		translation	rrsC-gltU-rrlC-rrfC // rrsC-gltU-rrlC-rrfC // rrsC-gltU-rrlC-rrfC	EG30086		rrsC-gltU-rrlC-rrfC // rrsC-gltU-rrlC-rrfC // rrsC-gltU-rrlC-rrfC
ygfM	b2880	3020540	3021319	putative oxidoreductase			ygfM-xdhD	G7499		ygfM-xdhD
rrfA	b3855	4040517	4040636	5S ribosomal RNA			rrsA-ileT-alaT-rrlA-rrfA // rrlA-rrfA // rrsA-ileT-alaT-rrlA-rrfA // rrsA-ileT-alaT-rrlA-rrfA	EG30070		rrsA-ileT-alaT-rrlA-rrfA // rrlA-rrfA // rrsA-ileT-alaT-rrlA-rrfA // rrsA-ileT-alaT-rrlA-rrfA
rrlH	b0204	225759	228662	23S ribosomal RNA		translation	rrsH-ileV-alaV-rrlH-rrfH // rrlH-rrfH // rrsH-ileV-alaV-rrlH-rrfH // rrsH-ileV-alaV-rrlH-rrfH	EG30083		rrsH-ileV-alaV-rrlH-rrfH // rrlH-rrfH // rrsH-ileV-alaV-rrlH-rrfH // rrsH-ileV-alaV-rrlH-rrfH
insZ	b4573	1294426	1295322	putative transposase InsZ		DNA transposition	insZ	G6632		insZ
ytjB	b4387	4624145	4624789	probable inner membrane protein Smp	Regulation of ytjB by DNA-binding transcriptional dual regulator Lrp		ytjB-lplA	EG10951		ytjB-lplA
oweE	b4692	1204170	1204403	phage replication protein				G0-16719		
ygaM	b2672	2800146	2800475	DUF883 domain-containing protein YgaM	Regulation of ygaM by DNA-binding transcriptional dual regulator Nac		ygaM	G7400		ygaM
ysaD	b4649	3750918	3751109					G0-16665		
clsC	b1046	1106355	1107776	cardiolipin synthase C		phosphate-containing compound metabolic process // biosynthetic process // phospholipid biosynthetic process // lipid metabolic process // cardiolipin biosynthetic process	ymdAB-clsC // clsC // ymdB-clsC	G6551	superpathway of phospholipid biosynthesis III (<i>E. coli</i>) // cardiolipin biosynthesis III	ymdAB-clsC // clsC // ymdB-clsC
yfcZ	b2343	2460650	2460934	DUF406 domain-containing protein YfcZ	Regulation of yfcZ by RNA polymerase sigma factor RpoN // Regulation of yfcZ by DNA-binding transcriptional dual regulator Lrp // Regulation of yfcZ by DNA-binding transcriptional dual regulator FNR		yfcZ	G7214		yfcZ
opgB	b4359	4597150	4599441	phosphoglycerol transferase II // phosphoglycerol transferase I		oligosaccharide-lipid intermediate biosynthetic process // glucan biosynthetic process	opgB	EG12591		opgB
insM	b4561	4508684	4508942				insMI3	G0-10567		insMI3
plsB	b4041	4254043	4256466	glycerol-3-phosphate 1-<i>O</i>-acyltransferase	Regulation of plsB by DNA-binding transcriptional dual regulator CpxR-phosphorylated	cellular lipid metabolic process // lipid metabolic process // CDP-diacylglycerol biosynthetic process // fatty acid metabolic process // phospholipid biosynthetic process	plsB // plsB	EG10740	CDP-diacylglycerol biosynthesis II // superpathway of phospholipid biosynthesis III (<i>E. coli</i>) // CDP-diacylglycerol biosynthesis I	plsB // plsB
clsA	b1249	1307185	1308645	cardiolipin synthase A		phosphate-containing compound metabolic process // biosynthetic process // lipid metabolic process // phospholipid biosynthetic process // cardiolipin biosynthetic process	clsA-yciU	EG11608	superpathway of phospholipid biosynthesis III (<i>E. coli</i>) // cardiolipin biosynthesis I	clsA-yciU
pgpA	b0418	436589	437107	phosphatidylglycerophosphatase A		phospholipid dephosphorylation // response to magnesium ion // lipid metabolic process // lipid catabolic process // phosphatidylglycerol biosynthetic process // phospholipid catabolic process // glycerophospholipid biosynthetic process	ribE-nusB-thiL-pgpA // nrdR-ribDE-nusB-thiL-pgpA	EG10704	superpathway of phospholipid biosynthesis III (<i>E. coli</i>) // cardiolipin biosynthesis III // cardiolipin biosynthesis I	ribE-nusB-thiL-pgpA // nrdR-ribDE-nusB-thiL-pgpA
flhE	b1878	1962580	1962972	flagellar protein FlhE		bacterial-type flagellum organization	flhBAE	G7027		flhBAE
plsC	b3018	3162744	3163481	1-acylglycerol-3-phosphate <i>O</i>-acyltransferase PlsC		lipid metabolic process // CDP-diacylglycerol biosynthetic process // phospholipid biosynthetic process // phosphatidic acid biosynthetic process	plsC	EG11377	CDP-diacylglycerol biosynthesis II // superpathway of phospholipid biosynthesis III (<i>E. coli</i>) // CDP-diacylglycerol biosynthesis I	plsC
yibJ	b3595	3767221	3767922	putative RHS domain-containing protein YibJ			yibJ	EG11766		yibJ
psd	b4160	4389392	4390360	phosphatidylserine decarboxylase proenzyme // phosphatidylserine decarboxylase, &beta; chain // phosphatidylserine decarboxylase, &alpha; chain		lipid metabolic process // phospholipid biosynthetic process // zymogen activation // protein autoprocessing // phosphatidylethanolamine biosynthetic process	psd-mscM	EG10775	superpathway of phospholipid biosynthesis III (<i>E. coli</i>) // phosphatidylserine and phosphatidylethanolamine biosynthesis I	psd-mscM
gnsA	b4517	1052067	1052240	putative phosphatidylethanolamine synthesis regulator GnsA			gnsA // gnsA // ymcE-gnsA	G0-9662		gnsA // gnsA // ymcE-gnsA
plsY	b3059	3204694	3205311	putative glycerol-3-phosphate acyltransferase		lipid metabolic process // phospholipid metabolic process // phospholipid biosynthetic process	ygiH	EG11674		ygiH
yeaD	b1780	1863850	1864734	putative aldose 1-epimerase YeaD		carbohydrate metabolic process // DNA damage response	gapA-yeaD // yeaD	G6966		gapA-yeaD // yeaD
pgpB	b1278	1339330	1340094	phosphatidylglycerophosphatase B		lipid metabolic process // lipid catabolic process // phospholipid catabolic process // phosphatidylglycerol biosynthetic process // peptidoglycan biosynthetic process // glycerophospholipid biosynthetic process	pgpB	EG10705	superpathway of phospholipid biosynthesis III (<i>E. coli</i>) // cardiolipin biosynthesis III // cardiolipin biosynthesis I // polyisoprenoid biosynthesis (<i>E. coli</i>) // di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis	pgpB
yfjV	b2641	2772167	2773182	CP4-57 prophage; putative arsenite transporter			yfjV	G7376		yfjV
plsX	b1090	1147621	1148691	putative phosphate acyltransferase		phospholipid metabolic process // lipid metabolic process // fatty acid biosynthetic process // phospholipid biosynthetic process	plsX-fabHDG // rpmF-plsX-fabHDG	EG11437		plsX-fabHDG // rpmF-plsX-fabHDG
cdsA	b0175	195677	196534	CDP-diglyceride synthetase		lipid metabolic process // phospholipid biosynthetic process // CDP-diacylglycerol biosynthetic process	uppS-cdsA // uppS-cdsA // dxr-uppS-cdsA // cdsA	EG10139	superpathway of phospholipid biosynthesis III (<i>E. coli</i>) // CDP-diacylglycerol biosynthesis II // CDP-diacylglycerol biosynthesis I	uppS-cdsA // uppS-cdsA // dxr-uppS-cdsA // cdsA
pssA	b2585	2722727	2724082	phosphatidylserine synthase		phosphate-containing compound metabolic process // biosynthetic process // cardiolipin biosynthetic process // lipid metabolic process // phospholipid biosynthetic process	pssA	EG10781	superpathway of phospholipid biosynthesis III (<i>E. coli</i>) // phosphatidylserine and phosphatidylethanolamine biosynthesis I	pssA
ynfA	b1582	1655347	1655673	putative transporter YnfA			ynfA	G6840		ynfA
clsB	b0789	822498	823739	cardiolipin synthase B		phosphate-containing compound metabolic process // biosynthetic process // lipid metabolic process // phospholipid biosynthetic process // cardiolipin biosynthetic process	ybhP-clsB-ybhN	G6406	superpathway of phospholipid biosynthesis III (<i>E. coli</i>) // cardiolipin biosynthesis I	ybhP-clsB-ybhN
ymdE	b1028	1095544	1095846	putative uncharacterized protein YmdE			ymdE-ycdU	G6535		ymdE-ycdU
lgt	b2828	2965162	2966037	phosphatidylglycerol--prolipoprotein diacylglyceryl transferase		lipoprotein biosynthetic process	lgt // lgt-thyA	EG12128	lipoprotein posttranslational modification (Gram-negative bacteria)	lgt // lgt-thyA
pgsA	b1912	1992269	1992817	CDP-diacylglycerol&mdash;glycerol-3-phosphate 3-phosphatidyltransferase		glycerophospholipid biosynthetic process // lipid metabolic process // phosphatidylglycerol biosynthetic process // phospholipid biosynthetic process	pgsA	EG10706	superpathway of phospholipid biosynthesis III (<i>E. coli</i>) // cardiolipin biosynthesis III // cardiolipin biosynthesis I	pgsA
fadD	b1805	1888061	1889746	long-chain-fatty-acid&mdash;CoA ligase	Regulation of fadD by DNA-binding transcriptional dual regulator Rob	long-chain fatty acid metabolic process // lipid metabolic process // phospholipid biosynthetic process // fatty acid metabolic process // fatty acid transport // response to UV // acyl-CoA metabolic process // fatty acid beta-oxidation	fadD-sroD	EG11530	oleate &beta;-oxidation	fadD-sroD
smrA	b1340	1405979	1406542	DNA endonuclease SmrA		DNA metabolic process	ydaL	G6672		ydaL
dgkA	b4042	4256637	4257005	diacylglycerol kinase		lipid biosynthetic process // phospholipid biosynthetic process // lipid metabolic process // phosphorylation // response to UV // phosphatidic acid biosynthetic process	dgkA // dgkA	EG10224		dgkA // dgkA
ykgP	b4630	313716	313805	putative oxidoreductase				G0-16716		
pgpC	b2560	2697915	2698550	phosphatidylglycerophosphatase C		lipid catabolic process // phospholipid catabolic process // phosphatidylglycerol biosynthetic process // lipid metabolic process // glycerophospholipid biosynthetic process	pgpC-tadA	EG11371	superpathway of phospholipid biosynthesis III (<i>E. coli</i>) // cardiolipin biosynthesis III // cardiolipin biosynthesis I	pgpC-tadA
efeO	b1018	1082243	1083370	ferrous iron transport system protein EfeO		response to UV // response to toxic substance // response to oxidative stress // response to antibiotic	efeOB	G6527		efeOB
yrdE	b4646	3404638	3405031					G0-16661		
appC	b0978	1037740	1039284	cytochrome <i>bd</i>-II subunit 1	Regulation of appC by DNA-binding transcriptional dual regulator CpxR-phosphorylated	aerobic electron transport chain // oxidative phosphorylation	appCBA-yccB // appCBA-yccB	EG11380		appCBA-yccB // appCBA-yccB
ybiV	b0822	859213	860028	sugar phosphatase YbiV			ybiV	G6425	superpathway of hexitol degradation (bacteria) // superpathway of glycolysis and the Entner-Doudoroff pathway // superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // gluconeogenesis I // glycolysis II (from fructose 6-phosphate) // glycolysis I (from glucose 6-phosphate) // glucose and glucose-1-phosphate degradation	ybiV
cyoC	b0430	448046	448660	cytochrome <i>bo</i><sub>3</sub> subunit 3		respiratory electron transport chain // aerobic respiration // electron transport coupled proton transport // aerobic electron transport chain	cyoABCDE	EG10180	succinate to cytochrome <i>bo</i> oxidase electron transfer // pyruvate to cytochrome <i>bo</i> oxidase electron transfer // D-lactate to cytochrome <i>bo</i> oxidase electron transfer // glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer // NADH to cytochrome <i>bo</i> oxidase electron transfer I // NADH to cytochrome <i>bo</i> oxidase electron transfer II // proline to cytochrome <i>bo</i> oxidase electron transfer	cyoABCDE
icdC	b4519	1211413	1211577	protein IcdC			icdC	G0-10556		icdC
gspK	b3332	3462924	3463907	type II secretion system protein GspK		protein secretion // protein transport	gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO	G7710		gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO
cydB	b0734	773042	774181	cytochrome <i>bd</i>-I subunit 2		oxidative phosphorylation // aerobic electron transport chain	cydAB // cydAB // cydAB // cydAB // cydAB	EG10174	succinate to cytochrome <i>bd</i> oxidase electron transfer // NADH to cytochrome <i>bd</i> oxidase electron transfer II // pyruvate to cytochrome <i>bd</i> oxidase electron transfer // NADH to cytochrome <i>bd</i> oxidase electron transfer I	cydAB // cydAB // cydAB // cydAB // cydAB
dmsD	b1591	1664506	1665120	redox enzyme maturation protein DmsD		protein maturation // chaperone-mediated protein folding	ynfEFGH-dmsD // ynfEFGH-dmsD	G6849		ynfEFGH-dmsD // ynfEFGH-dmsD
gspH	b3329	3461468	3461977	type II secretion system protein GspH	Regulation of gspH by DNA-binding transcriptional dual regulator Nac	protein secretion by the type II secretion system // protein transport	gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO	G7707		gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO
caiA	b0039	39244	40386	crotonobetainyl-CoA reductase	Regulation of caiA by small regulatory RNA Spot 42	fatty acid beta-oxidation using acyl-CoA dehydrogenase // carnitine metabolic process	caiTABCDE	EG11560	L-carnitine degradation I	caiTABCDE
fdrA	b0518	546680	548347	putative oxamate carbamoyltransferase FdrA		tricarboxylic acid cycle // bacterial-type flagellum-dependent cell motility	fdrA-ylbEF-ybcF	G6287	allantoin degradation IV (anaerobic)	fdrA-ylbEF-ybcF
cyoD	b0429	447717	448046	cytochrome <i>bo</i><sub>3</sub> subunit 4		aerobic respiration // electron transport coupled proton transport // aerobic electron transport chain	cyoABCDE	EG10181	succinate to cytochrome <i>bo</i> oxidase electron transfer // pyruvate to cytochrome <i>bo</i> oxidase electron transfer // D-lactate to cytochrome <i>bo</i> oxidase electron transfer // glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer // NADH to cytochrome <i>bo</i> oxidase electron transfer I // NADH to cytochrome <i>bo</i> oxidase electron transfer II // proline to cytochrome <i>bo</i> oxidase electron transfer	cyoABCDE
yjiV	b4486	4574135	4576855	putative uncharacterized protein YjiV			yjiV	EG11386		yjiV
ybaT	b0486	512576	513868	putative transporter YbaT		transmembrane transport // amino acid transport // stress response to copper ion // response to pH	glsA-ybaT	G6262		glsA-ybaT
cyoA	b0432	450663	451610	cytochrome <i>bo</i><sub>3</sub> subunit 2	Regulation of cyoA by DNA-binding transcriptional dual regulator ArcA-phosphorylated // Regulation of cyoA by DNA-binding transcriptional dual regulator ArcA-phosphorylated	ATP synthesis coupled electron transport // electron transport chain // aerobic respiration // electron transport coupled proton transport // aerobic electron transport chain	cyoABCDE	EG10178	succinate to cytochrome <i>bo</i> oxidase electron transfer // pyruvate to cytochrome <i>bo</i> oxidase electron transfer // D-lactate to cytochrome <i>bo</i> oxidase electron transfer // glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer // NADH to cytochrome <i>bo</i> oxidase electron transfer I // NADH to cytochrome <i>bo</i> oxidase electron transfer II // proline to cytochrome <i>bo</i> oxidase electron transfer	cyoABCDE
appB	b0979	1039296	1040432	cytochrome <i>bd</i>-II subunit 2		oxidative phosphorylation // aerobic electron transport chain	appCBA-yccB // appCBA-yccB	EG11379		appCBA-yccB // appCBA-yccB
rarD	b3819	4003288	4004178	putative transporter RarD			rarD	EG11466		rarD
cyoB	b0431	448650	450641	cytochrome <i>bo</i><sub>3</sub> subunit 1		proton transmembrane transport // respiratory electron transport chain // monoatomic ion transport // aerobic respiration // electron transport coupled proton transport // aerobic electron transport chain	cyoABCDE	EG10179	succinate to cytochrome <i>bo</i> oxidase electron transfer // pyruvate to cytochrome <i>bo</i> oxidase electron transfer // D-lactate to cytochrome <i>bo</i> oxidase electron transfer // glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer // NADH to cytochrome <i>bo</i> oxidase electron transfer I // NADH to cytochrome <i>bo</i> oxidase electron transfer II // proline to cytochrome <i>bo</i> oxidase electron transfer	cyoABCDE
yafV	b0219	239419	240189	2-oxoglutaramate amidase	Regulation of yafV by DNA-binding transcriptional dual regulator Nac	nitrogen compound metabolic process	yafV	G6103		yafV
cydA	b0733	771458	773026	cytochrome <i>bd</i>-I subunit 1	Regulation of cydA by DNA-binding transcriptional dual regulator Nac // Regulation of cydA by DNA-binding transcriptional dual regulator FNR // Regulation of cydA by DNA-binding transcriptional dual regulator FNR // Regulation of cydA by DNA-binding transcriptional dual regulator FNR // Regulation of cydA by DNA-binding transcriptional dual regulator FNR // Regulation of cydA by DNA-binding transcriptional dual regulator FNR // Regulation of cydA by DNA-binding transcriptional dual regulator ArcA-phosphorylated // Regulation of cydA by DNA-binding transcriptional dual regulator ArcA-phosphorylated // Regulation of cydA by DNA-binding transcriptional dual regulator ArcA-phosphorylated // Regulation of cydA by DNA-binding transcriptional dual regulator ArcA-phosphorylated // Regulation of cydA by DNA-binding transcriptional dual regulator ArcA-phosphorylated	oxidative phosphorylation // aerobic electron transport chain	cydAB // cydAB // cydAB // cydAB // cydAB	EG10173	succinate to cytochrome <i>bd</i> oxidase electron transfer // NADH to cytochrome <i>bd</i> oxidase electron transfer II // pyruvate to cytochrome <i>bd</i> oxidase electron transfer // NADH to cytochrome <i>bd</i> oxidase electron transfer I	cydAB // cydAB // cydAB // cydAB // cydAB
yjhR	b4308	4535015	4536031	KpLE2 phage-like element; PLD-like domain-containing protein YjhR			yjhR	G7918		yjhR
gspE	b3326	3458339	3459820	type II secretion system protein GspE		protein secretion by the type II secretion system // protein transport	gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO	G7704		gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO
yqjA	b3095	3247773	3248435	DedA family protein YqjA		transmembrane transport // response to xenobiotic stimulus // FtsZ-dependent cytokinesis	yqjA-mzrA // yqjA-mzrA	G7609		yqjA-mzrA // yqjA-mzrA
ccp	b3518	3667791	3669188	cytochrome <I>c</i> peroxidase		cellular oxidant detoxification // anaerobic electron transport chain // hydrogen peroxide metabolic process // response to hydrogen peroxide	yhjA	EG12244	glycerol-3-phosphate to hydrogen peroxide electron transport // NADH to hydrogen peroxide electron transfer	yhjA
gspA	b3323	3453929	3455398	Type II secretion system protein GspA			gspAB // gspAB // gspAB // gspAB	G7701		gspAB // gspAB // gspAB // gspAB
fixA	b0041	42403	43173	putative electron transfer flavoprotein FixA		electron transport chain // carnitine metabolic process // carnitine catabolic process	fixABCX	EG11562		fixABCX
kilS	b4833	1418405	1418502	Rac prophage; small RNA KilS				G0-17108		
cydX	b4515	774196	774309	cytochrome <i>bd</i>-I accessory subunit CydX		aerobic electron transport chain // oxidative phosphorylation	ybgTE	G0-10441	succinate to cytochrome <i>bd</i> oxidase electron transfer // NADH to cytochrome <i>bd</i> oxidase electron transfer II // pyruvate to cytochrome <i>bd</i> oxidase electron transfer // NADH to cytochrome <i>bd</i> oxidase electron transfer I	ybgTE
yegZ	b2083	2167602	2167820	phage protein D			yegRZ	G7120		yegRZ
ytfF	b4210	4432091	4433056	inner membrane protein YtfF			ytfF	G7867		ytfF
fixB	b0042	43188	44129	putative electron transfer flavoprotein FixB		organic substance metabolic process // electron transport chain // fatty acid beta-oxidation using acyl-CoA dehydrogenase // carnitine metabolic process // carnitine catabolic process	fixABCX	EG11563		fixABCX
ydiO	b1695	1777196	1778347	putative acyl-CoA dehydrogenase YdiO	Regulation of ydiO by DNA-binding transcriptional dual regulator Nac	fatty acid beta-oxidation using acyl-CoA dehydrogenase // 1-butanol biosynthetic process	ydiFO	G6918		ydiFO
yqgA	b2966	3109553	3110260	DUF554 domain-containing protein YqgA			yqgA	G7534		yqgA
yghB	b3009	3153563	3154222	DedA family protein YghB		transmembrane transport // response to xenobiotic stimulus // FtsZ-dependent cytokinesis	yghB	EG11824		yghB
ymgN	b4816	1227368	1227427	protein YmgN				G0-17091		
exoD	b0539	566098	566361	DLP12 prophage; putative exonuclease ExoD			exoD	G6295		exoD
lysO	b0874	913958	914857	L-lysine/thialysine exporter		amino acid transport // L-lysine transmembrane transport	lysO	G6458		lysO
gspL	b3333	3463922	3465085	type II secretion system protein GspL		protein secretion by the type II secretion system // protein transport	gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO	G7711		gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO
rseD	b4725	2710009	2710164	<i>rpoE</i> leader peptide		regulation of translation	rseD-rpoE-rseABC // rseD-rpoE-rseABC // rseD-rpoE-rseABC // rseD-rpoE-rseABC // rpoE-rseABC	G0-16690		rseD-rpoE-rseABC // rseD-rpoE-rseABC // rseD-rpoE-rseABC // rseD-rpoE-rseABC // rpoE-rseABC
waaB	b3628	3803058	3804137	UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase		lipopolysaccharide biosynthetic process // lipopolysaccharide core region biosynthetic process	rfaQGPSBIJYZ-waaU // rirA-rfaQGPSBIJYZ-waaU	EG11351	superpathway of Kdo<sub>2</sub>-lipid A biosynthesis // lipid A-core biosynthesis (<i>E. coli</i> K-12)	rfaQGPSBIJYZ-waaU // rirA-rfaQGPSBIJYZ-waaU
ylbI	b4632	529497	529592	RHS element protein YlbI				G0-16713		
gsiC	b0831	870967	871887	glutathione ABC transporter membrane subunit GsiC		transmembrane transport // glutathione transmembrane transport	iaaA-gsiABCD	G6431		iaaA-gsiABCD
rffC	b3790	3974467	3975141	RffC		enterobacterial common antigen biosynthetic process	rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM	EG11455	superpathway of enterobacterial common antigen biosynthesis // dTDP-<i>N</i>-acetylthomosamine biosynthesis	rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM
trpC	b1262	1318427	1319788	fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase		aromatic amino acid family biosynthetic process // amino acid biosynthetic process // metabolic process // tryptophan metabolic process // tryptophan biosynthetic process	trpCBA // trpLEDCBA	EG11026	superpathway of chorismate metabolism // superpathway of aromatic amino acid biosynthesis // superpathway of L-tryptophan biosynthesis // L-tryptophan biosynthesis	trpCBA // trpLEDCBA
atoE	b2223	2324756	2326078	short chain fatty acid transporter			atoDAEB	EG11671		atoDAEB
